Web_ID,Region_of_Incident,Reported_Date,Reported_Year,Reported_Month,Number_Dead,Minimum_Estimated_Number_of_Missing,Total_Dead_and_Missing,Number_of_Survivors,Number_of_Females,Number_of_Males,Number_of_Children,Cause_of_Death,Location_Description,Information_Source,Latitude,Longitude ,Migration_Route,URL,UNSD_Geographical_Grouping,Source_Quality
44111,Horn of Africa,"January 23, 2018",2018,Jan,30,0,30,146,5,6,0,Drowning,"Off the coast of Arah, Lahj Governorate, Yemen",IOM Yemen,12.44187239,44.02657489,Unknown,Not Available,Western Asia,4
44362,Sub-Saharan Africa,"January 22, 2018",2018,Jan,2,1,3,11,0,0,3,Presumed drowning,"Off the coast of Ndzuani, Anjouan, Comoros - en route to Mayotte (France)","Al-Watwan, IOM Madagascar",-12.12622107,44.40581823,Unknown,http://bit.ly/2DZqYUy,Eastern Africa,4
44621,Central America,"January 22, 2018",2018,Jan,1,0,1,0,0,1,0,Hit by train,"Train tracks near Rancho Viejo, Nogales, Veracruz, Mexico",El Mundo de Orizaba,18.83001,-97.1660589,Central America to US,http://bit.ly/2oyMshb,Central America,1
50851,North Africa,"January 22, 2018",2018,Jan,2,0,2,0,0,2,0,"Sickness and lack of access to medicines, Starvation, Dehydration","Sahara desert, Sudan",Mixed Migration Monitoring Mechanism Initiative (4mi),19.466592,26.440061,Unknown,http://www.mixedmigration.org/4mi/,Northern Africa,2
50852,North Africa,"January 22, 2018",2018,Jan,1,0,1,0,0,1,0,Shot or stabbed,"Sabha, Libya",Mixed Migration Monitoring Mechanism Initiative (4mi),27.036422,14.417426,Unknown,http://www.mixedmigration.org/4mi/,Northern Africa,2
50853,Sub-Saharan Africa,"January 22, 2018",2018,Jan,1,0,1,0,0,1,0,Sickness and lack of access to medicines,"Segou, Mali",Mixed Migration Monitoring Mechanism Initiative (4mi),13.436756,-6.242715,Unknown,http://www.mixedmigration.org/4mi/,Western Africa,2
50848,North Africa,"January 21, 2018",2018,Jan,1,0,1,0,0,1,0,Sickness and lack of access to medicines,"Sahara desert, Sudan",Mixed Migration Monitoring Mechanism Initiative (4mi),20.342052,27.022494,Unknown,http://www.mixedmigration.org/4mi/,Northern Africa,2
50849,North Africa,"January 21, 2018",2018,Jan,3,0,3,0,1,1,0,"Harsh weather/lack of adequate shelter, Vehicle Accident","Unspecified location in the Sahara desert, Sudan",Mixed Migration Monitoring Mechanism Initiative (4mi),19.635357,27.103536,Unknown,http://www.mixedmigration.org/4mi/,Northern Africa,2
50850,Sub-Saharan Africa,"January 21, 2018",2018,Jan,1,0,1,0,1,0,0,Sickness and lack of access to medicines,"Dirkou, Niger",Mixed Migration Monitoring Mechanism Initiative (4mi),18.9951,12.892,Unknown,http://www.mixedmigration.org/4mi/,Western Africa,2
51478,US-Mexico Border,"January 21, 2018",2018,Jan,1,0,1,0,0,0,0,Unknown,"Private ranch in Kenedy County, Texas, USA",Kenedy County Sheriff's Office,26.8697147,-97.6982272,Unknown,Not Available,Northern America,5
